EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"175,000","IRVING, TX",08/03/2022,08/09/2022
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"175,500","TAMPA, FL",09/19/2022,03/21/2023
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"179,425","BELLEVUE, WA",03/05/2022,09/02/2022
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"180,000","LOS ANGELES, CA",07/14/2022,07/20/2022
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"180,000","IRVINE, CA",10/10/2022,04/07/2023
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"180,000","IRVINE, CA",04/01/2022,04/07/2022
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"180,000","IRVINE, CA",09/27/2022,03/29/2023
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"180,000","IRVINE, CA",09/26/2022,03/21/2023
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"180,000","IRVINE, CA",09/06/2022,03/08/2023
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"180,000","BELLEVUE, WA",05/23/2022,05/26/2022
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"180,100","HUTTO, TX",10/17/2022,10/24/2022
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"180,200","ISSAQUAH, WA",10/31/2022,05/02/2023
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"182,400","ISELIN, NJ",07/20/2022,01/19/2023
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"189,416","BELLEVUE, WA",02/22/2022,08/21/2022
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"189,997","REDMOND, WA",09/05/2022,03/04/2023
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"190,000","EL DORADO HILLS, CA",09/07/2022,09/14/2022
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"193,360","SAN FRANCISCO, CA",07/15/2022,01/13/2023
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"193,360","SAN FRANCISCO, CA",08/01/2022,01/28/2023
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"200,000","WHITE PLAINS, NY",02/15/2022,02/21/2022
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"200,000","NEW YORK, NY",03/04/2022,03/10/2022
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"201,690","NEW YORK, NY",10/27/2022,04/08/2023
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"201,690","NEW YORK, NY",09/08/2022,03/10/2023
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"212,671","ISSAQUAH, WA",07/07/2022,01/06/2023
MICROSOFT CORPORATION,CLOUD SOLUTION ARCHITECTURE,"220,662","SAN FRANCISCO, CA",09/08/2022,02/04/2023
AVAYA INC,"CLOUD SOLUTION AUTOMATION ENGINEER, ENT","136,059","IRVING, TX",06/29/2022,12/24/2022
MICROEXCEL INC,CLOUD SOLUTION CONSULTANT,"80,000","GLEN RIDGE, NJ",04/15/2022,10/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"80,517","SANTA MONICA, CA",01/31/2022,07/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"87,298","BELLEVUE, WA",05/19/2022,10/01/2022
KOVAN TECHNOLOGY SOLUTIONS LLC,CLOUD SOLUTION ENGINEER,"92,685","HOUSTON, TX",05/11/2022,10/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"92,836","ARLINGTON, VA",01/12/2022,07/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"96,982","RESTON, VA",06/29/2022,11/01/2022
SARA SOFTWARE SYSTEMS LLC,CLOUD SOLUTION ENGINEER,"100,000","OLATHE, KS",05/31/2022,10/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"104,832","KATY, TX",05/04/2022,10/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"117,354","MINNEAPOLIS, MN",06/16/2022,06/27/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"118,452","AUSTIN, TX",01/26/2022,07/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"120,231","BURLINGTON, MA",01/12/2022,07/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"120,927","LEHI, UT",05/12/2022,05/12/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"122,122","AUSTIN, TX",10/18/2022,03/01/2023
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"122,177","GARLAND, TX",01/12/2022,01/24/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"122,218","AUSTIN, TX",06/28/2022,11/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"122,470","BELLEVUE, WA",01/12/2022,07/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"126,069","MOUNTAIN HOUSE, CA",07/06/2022,07/12/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"130,108","ARLINGTON, VA",01/12/2022,07/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"130,303","REDWOOD SHORES, CA",01/27/2022,07/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"130,850","ARLINGTON, VA",06/30/2022,11/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"138,050","CHICAGO, IL",02/01/2022,07/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"138,902","NASHUA, NH",06/16/2022,06/27/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"139,797","FRISCO, TX",02/02/2022,07/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"139,797","FRISCO, TX",05/25/2022,06/02/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"147,957","WEST CONSHOHOCKEN, PA",08/03/2022,11/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"148,845","AUSTIN, TX",10/20/2022,03/01/2023
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"151,570","AUSTIN, TX",01/31/2022,07/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"151,570","AUSTIN, TX",06/17/2022,06/27/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"154,470","REDWOOD SHORES, CA",01/27/2022,07/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"154,640","FREMONT, CA",05/19/2022,05/20/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"156,273","MOUNTAIN HOUSE, CA",04/06/2022,07/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION ENGINEER,"168,438","DUBLIN, CA",05/26/2022,06/02/2022
LENOVO GLOBAL TECHNOLOGY (UNITED STATES,"CLOUD SOLUTION ENGINEER, DEVOPS","141,003","MORRISVILLE, NC",11/30/2022,12/01/2022
TIFFANY & CO,CLOUD SOLUTION INFRASTRUCTURE ARCHITECT,"180,000","PARSIPPANY, NJ",10/31/2022,11/15/2022
ORACLE AMERICA INC,CLOUD SOLUTION MANAGER,"125,174","SANTA MONICA, CA",06/30/2022,11/01/2022
ORACLE AMERICA INC,CLOUD SOLUTION SNR MANAGER,"186,991","SANTA MONICA, CA",09/02/2022,02/24/2023
ORACLE AMERICA INC,CLOUD SOLUTION SNR MANAGER,"192,060","BRIDGEWATER, NJ",05/23/2022,05/30/2022
ORACLE AMERICA INC,CLOUD SOLUTION SNR MANAGER,"217,755","IRVINE, CA",04/05/2022,04/11/2022
HANU SOFTWARE SOLUTIONS INC,CLOUD SOLUTION SPECIALIST,"90,000","PRINCETON, NJ",06/08/2022,10/01/2022
HANU SOFTWARE SOLUTIONS INC,CLOUD SOLUTION SPECIALIST,"90,000","PRINCETON, NJ",06/15/2022,10/01/2022
ICONMA LLC,CLOUD SOLUTIONS ARCHITECT,"92,400","ENGLEWOOD, CO",04/11/2022,10/01/2022
HCL GLOBAL SYSTEMS INC,CLOUD SOLUTIONS ARCHITECT,"94,140","LA VISTA, NE",03/16/2022,03/28/2022
HCL GLOBAL SYSTEMS INC,CLOUD SOLUTIONS ARCHITECT,"94,140","LA VISTA, NE",03/17/2022,03/28/2022
UNITED PHARMA TECHNOLOGIES INC,CLOUD SOLUTIONS ARCHITECT,"98,180","HERNDON, VA",01/27/2022,02/03/2022
INNOVATECH SOLUTIONS INC,CLOUD SOLUTIONS ARCHITECT,"70,000","MONTGOMERY, NJ",06/15/2022,10/01/2022
VIGILANT TECHNOLOGIES LLC,CLOUD SOLUTIONS ARCHITECT,"80,000","TROY, MI",05/26/2022,10/01/2022
VISIONSOFT INC,CLOUD SOLUTIONS ARCHITECT,"89,500","MALVERN, PA",05/30/2022,10/01/2022
DATAFACTZ LLC,CLOUD SOLUTIONS ARCHITECT,"90,000","NORTHVILLE, MI",05/31/2022,07/01/2022
TECHSUFFICE LLC,CLOUD SOLUTIONS ARCHITECT,"91,000","ARLINGTON HEIGHTS, IL",05/25/2022,10/01/2022
TECHSUFFICE LLC,CLOUD SOLUTIONS ARCHITECT,"92,000","ARLINGTON HEIGHTS, IL",05/26/2022,10/01/2022
AA SOFTWARE & NETWORKING INC,CLOUD SOLUTIONS ARCHITECT,"96,000","THE WOODLANDS, TX",06/07/2022,10/01/2022
GOKATECH INC,CLOUD SOLUTIONS ARCHITECT,"100,000","WASHINGTON, DC, DC",05/16/2022,10/01/2022
AGILETRAILBLAZERS LLC,CLOUD SOLUTIONS ARCHITECT,"102,107","RESTON, VA",06/08/2022,10/01/2022
RISH SYSTEMS LLC,CLOUD SOLUTIONS ARCHITECT,"119,933","ALDIE, VA",06/03/2022,10/01/2022
RISH SYSTEMS LLC,CLOUD SOLUTIONS ARCHITECT,"119,933","HERNDON, VA",06/18/2022,10/01/2022
SARA SOFTWARE SYSTEMS LLC,CLOUD SOLUTIONS ARCHITECT,"120,000","OLATHE, KS",05/16/2022,06/13/2022
INDIANA FARM BUREAU INSURANCE,CLOUD SOLUTIONS ARCHITECT,"132,000","INDIANAPOLIS, IN",03/14/2022,03/21/2022
THE CLOROX SERVICES COMPANY,CLOUD SOLUTIONS ARCHITECT,"145,000","LOS ALAMITOS, CA",05/09/2022,05/10/2022
STARTREE INC (F/K/A CORTEXDATA INC),CLOUD SOLUTIONS ARCHITECT,"150,000","SIMI VALLEY, CA",11/14/2022,11/28/2022
SIEMENS MEDICAL SOLUTIONS USA INC,CLOUD SOLUTIONS ARCHITECT,"152,795","TARRYTOWN, NY",06/06/2022,06/14/2022
GENERAL MOTORS FINANCIAL COMPANY INC,CLOUD SOLUTIONS ARCHITECT,"155,000","ARLINGTON, TX",04/02/2022,04/04/2022
IHEARTMEDIA MANAGEMENT SERVICES INC,CLOUD SOLUTIONS ARCHITECT,"160,000","SAN ANTONIO, TX",03/28/2022,04/15/2022
THE VANGUARD GROUP,CLOUD SOLUTIONS ARCHITECT,"165,000","MALVERN, PA",06/28/2022,08/08/2022
GENERAL MOTORS FINANCIAL COMPANY INC,CLOUD SOLUTIONS ARCHITECT,"165,000","ARLINGTON, TX",07/08/2022,09/05/2022
GENERAL MOTORS FINANCIAL COMPANY INC,CLOUD SOLUTIONS ARCHITECT,"170,000","ARLINGTON, TX",05/09/2022,05/30/2022
INSURANCE SERVICES OFFICE INC,CLOUD SOLUTIONS ARCHITECT,"171,600","CARLSBAD, CA",11/11/2022,04/13/2023
INSURANCE SERVICES OFFICE INC,CLOUD SOLUTIONS ARCHITECT,"171,600","CARLSBAD, CA",11/09/2022,04/13/2023
CLEARWAVE CORPORATION,CLOUD SOLUTIONS ARCHITECT,"210,000","WARRINGTON, PA",07/20/2022,08/08/2022
HARMONIC INC,CLOUD SOLUTIONS DELIVERY ENGINEER,"105,000","WESTON, FL",01/11/2022,01/18/2022
BCD TRAVEL USA LLC,CLOUD SOLUTIONS ENGINEER,"72,006","CHICAGO, IL",01/03/2022,01/03/2022
CIRA INFOTECH INC,CLOUD SOLUTIONS ENGINEER,"75,700","ALPHARETTA, GA",06/06/2022,10/01/2022
S9 SOLUTIONS LLC,CLOUD SOLUTIONS ENGINEER,"94,850","CARY, NC",05/31/2022,10/01/2022
INDEED INC,CLOUD SOLUTIONS ENGINEER,"98,000","AUSTIN, TX",01/31/2022,07/26/2022
RAKS GROUP LLC,CLOUD SOLUTIONS ENGINEER,"102,482","GREENWOOD VILLAGE, CO",10/14/2022,10/20/2022
MUSARUBRA US LLC,CLOUD SOLUTIONS ENGINEER,"112,500","DELAWARE, OH",03/25/2022,03/28/2022
LENOVO GLOBAL TECHNOLOGY (UNITED STATES,CLOUD SOLUTIONS ENGINEER,"131,851","MORRISVILLE, NC",05/23/2022,05/25/2022
SKILLFUL TECHNOLOGIES INC,CLOUD SOLUTIONS ENGINEER III,"94,500","GREENWOOD VILLAGE, CO",04/26/2022,10/01/2022
DIVIS SOLUTIONS INC,CLOUD SPECIALIST,"82,000","SOUTHFIELD, MI",04/26/2022,10/01/2022
ISOLVERS INC,CLOUD SPECIALIST,"98,600","STERLING, VA",04/25/2022,10/01/2022
ASRC FEDERAL DATA NETWORX,CLOUD SRE ENGINEER,"176,280","BRAMBLETON, VA",05/04/2022,05/16/2022
ZIDDOS INC,CLOUD STORAGE ADMINISTRATOR,"94,037","IRVING, TX",06/09/2022,10/01/2022
SRI INFOTECH INC,CLOUD STORAGE ENGINEER,"101,754","SOUTH PLAINFIELD, NJ",05/20/2022,10/01/2022
FRANKLIN TEMPLETON COMPANIES LLC,CLOUD STRATEGIC ARCHITECT,"180,000","BALTIMORE, MD",01/14/2022,01/24/2022
FRANKLIN TEMPLETON COMPANIES LLC,CLOUD STRATEGIC ARCHITECT,"180,000","BALTIMORE, MD",01/20/2022,01/24/2022
RED HAT INC,CLOUD SUCCESS ARCHITECT,"174,031","WESTFORD, MA",04/20/2022,10/01/2022
MARINE RESCUE TECHNOLOGIES INC,CLOUD SUPPORT AND DEPLOYMENT SPECIALIST,"66,000","SEBASTIAN, FL",03/30/2022,09/29/2022
MARINE RESCUE TECHNOLOGIES INC,CLOUD SUPPORT AND DEPLOYMENT SPECIALIST,"66,000","SEBASTIAN, FL",04/06/2022,09/29/2022
PERFECT SENSE INC,CLOUD SUPPORT ENGINEER,"85,000","RESTON, VA",05/12/2022,10/01/2022
CLUMIO INC,CLOUD SUPPORT ENGINEER,"105,000","MIDDLETOWN, CT",09/23/2022,09/23/2022
CLUMIO INC,CLOUD SUPPORT ENGINEER,"105,000","MIDDLETOWN, CT",09/13/2022,09/23/2022
SAILPOINT TECHNOLOGIES INC,CLOUD SUPPORT ENGINEER,"105,000","DURHAM, NC",05/11/2022,05/31/2022
PERFECT SENSE INC,CLOUD SUPPORT ENGINEER,"110,000","RESTON, VA",04/01/2022,04/11/2022
SNOWFLAKE INC,CLOUD SUPPORT ENGINEER,"115,000","SAN MATEO, CA",07/13/2022,07/26/2022
NBCUNIVERSAL MEDIA LLC,CLOUD SUPPORT ENGINEER,"160,000","NEW YORK, NY",02/16/2022,04/04/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER I,"71,573","SEATTLE, WA",01/05/2022,07/05/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER I,"71,573","SEATTLE, WA",01/06/2022,05/02/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER I,"82,400","SEATTLE, WA",04/08/2022,07/25/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER I,"82,600","HERNDON, VA",02/09/2022,06/01/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER I,"88,100","HERNDON, VA",05/25/2022,11/08/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER I,"89,300","WAXHAW, NC",06/01/2022,06/12/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER I,"94,230","PORTLAND, OR",02/07/2022,07/04/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER I,"94,500","SEATTLE, WA",08/03/2022,08/03/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER I,"98,000","PORTLAND, OR",03/24/2022,08/16/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER I,"102,700","DALLAS, TX",05/18/2022,05/23/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER I,"103,300","SEATTLE, WA",09/28/2022,09/30/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER I,"109,040","DALLAS, TX",05/25/2022,05/30/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER I,"122,500","TULATIN, OR",10/31/2022,11/02/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER I  SUPPORT ENGIN,"82,601","PORTLAND, OR",01/20/2022,02/21/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER II,"112,000","SEATTLE, WA",01/17/2022,03/05/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER II,"124,000","PORTLAND, OR",10/21/2022,10/24/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER II,"136,300","ROUND ROCK, TX",06/01/2022,06/02/2022
AMAZON WEB SERVICES INC,CLOUD SUPPORT ENGINEER II - DEVOPS,"112,000","DALLAS, TX",01/10/2022,01/17/2022
PLUME DESIGN INC,CLOUD SW ENGINEER,"105,000","PALO ALTO, CA",05/04/2022,10/01/2022
AKSHAR IT SOLUTIONS LLC,CLOUD SYSTEM ADMINISTRATOR,"88,000","UNION CITY, CA",01/18/2022,01/25/2022
SVATS INC,CLOUD SYSTEM ENGINEER,"77,459","BENTONVILLE, AR",01/19/2022,01/26/2022
SVATS INC,CLOUD SYSTEM ENGINEER,"77,459","BENTONVILLE, AR",02/08/2022,02/15/2022
INFOR (US) LLC,CLOUD SYSTEM ENGINEER,"122,000","DURHAM, NC",05/09/2022,10/01/2022
AXLE INFORMATICS,CLOUD SYSTEM ENGINEER,"135,000","BETHESDA, MD",02/09/2022,02/28/2022
TIKTOK INC,CLOUD SYSTEM ENGINEER,"140,000","MOUNTAIN VIEW, CA",04/10/2022,10/01/2022
BRANCH METRICS INC,CLOUD SYSTEM ENGINEER,"175,000","PALO ALTO, CA",08/05/2022,01/13/2023
NIC SOLUTIONS LLC,CLOUD SYSTEM ENGINEER III,"148,000","PFLUGERVILLE, TX",07/21/2022,07/28/2022
F5 INC,CLOUD SYSTEM INTEGRATION ENGINEER SRE I,"144,200","SEATTLE, WA",02/11/2022,08/05/2022
CLOUD 9 INFOSYSTEMS INC,CLOUD SYSTEMS ADMINISTRATOR,"76,898","DOWNERS GROVE, IL",04/28/2022,10/01/2022
CALIFORNIA STATE UNIVERSITY FRESNO,CLOUD SYSTEMS ADMINISTRATOR,"83,760","FRESNO, CA",04/05/2022,08/24/2022
CALIFORNIA STATE UNIVERSITY FRESNO,CLOUD SYSTEMS ADMINISTRATOR,"83,760","FRESNO, CA",04/20/2022,07/01/2022
TRINITIII LLC,CLOUD SYSTEMS ADMINISTRATOR,"84,240","BLOOMINGTON, IL",06/16/2022,10/01/2022
ELSEVIER INC,CLOUD SYSTEMS ENGINEER,"79,758","JACKSONVILLE, FL",06/21/2022,06/27/2022
ELSEVIER INC,CLOUD SYSTEMS ENGINEER,"79,758","GAINESVILLE, FL",06/21/2022,06/27/2022
DATAEXON LLC,CLOUD SYSTEMS ENGINEER,"85,000","ASHBURN, VA 20147, VA",06/08/2022,10/01/2022
AARNA PRIYA INC,CLOUD SYSTEMS ENGINEER,"85,000","HERNDON, VA",06/08/2022,10/01/2022
JNIT TECHNOLOGIES INC,CLOUD SYSTEMS ENGINEER,"94,037","IRVING, TX",02/28/2022,03/07/2022
KAIZEN ITECH LLC,CLOUD SYSTEMS ENGINEER,"94,320","DALLAS, TX",05/24/2022,06/01/2022
VKORE SOLUTIONS LLC,CLOUD SYSTEMS ENGINEER,"97,000","TUSTIN, CA",02/28/2022,03/07/2022
AARNA PRIYA INC,CLOUD SYSTEMS ENGINEER,"98,500","HERNDON, VA",05/15/2022,10/01/2022
TECHNUMEN INC,CLOUD SYSTEMS ENGINEER,"98,720","TALLAHASSEE, FL",06/09/2022,06/09/2022
TECHNUMEN INC,CLOUD SYSTEMS ENGINEER,"98,721","TALLAHASSEE, FL",07/01/2022,07/01/2022
TECHNUMEN INC,CLOUD SYSTEMS ENGINEER,"98,721","TALLAHASSEE, FL",07/12/2022,07/12/2022
INFOMERICA INC,CLOUD SYSTEMS ENGINEER,"99,944","MIDDLEBOROUGH, MA",06/28/2022,07/11/2022
VKORE SOLUTIONS LLC,CLOUD SYSTEMS ENGINEER,"102,000","EDISON, NJ",01/06/2022,02/01/2022
S NIMBUS LLC,CLOUD SYSTEMS ENGINEER,"120,000","MCLEAN, VA",08/05/2022,08/15/2022
SPELLMAN HIGH VOLTAGE ELECTRONICS CORPO,CLOUD SYSTEMS ENGINEER,"120,000","SANDY SPRINGS, GA",06/13/2022,06/20/2022
GROUPON INC,CLOUD SYSTEMS ENGINEER,"120,058","CHICAGO, IL",12/13/2022,12/20/2022
GROUPON INC,CLOUD SYSTEMS ENGINEER,"126,000","CHICAGO, IL",04/19/2022,05/23/2022
GROUPON INC,CLOUD SYSTEMS ENGINEER,"126,000","CHICAGO, IL",04/19/2022,05/23/2022
INTERSYSTEMS CORPORATION,CLOUD SYSTEMS ENGINEER,"150,000","CAMBRIDGE, MA",05/23/2022,10/01/2022
LOGICWORKS SYSTEMS CORPORATION,CLOUD SYSTEMS ENGINEER,"165,000","BEAR, DE",01/20/2022,01/31/2022
LOGICWORKS SYSTEMS CORPORATION,CLOUD SYSTEMS ENGINEER AZURE,"150,000","TAMPA, FL",03/16/2022,04/11/2022
INSURANCE SERVICES OFFICE INC,CLOUD SYSTEMS ENGINEER II,"122,200","LITTLE ELM, TX",08/29/2022,08/31/2022
AMAZON WEB SERVICES INC,CLOUD TECHNICAL ACCOUNT MANAGER,"153,000","DALLAS, TX",09/09/2022,01/07/2023
3I INFOTECH INC,CLOUD TECHNICAL ARCHITECT,"94,349","EDISON, NJ",04/22/2022,10/01/2022
CASTLEBRIDGE CONSULTING LLC,CLOUD TECHNICAL ARCHITECT,"140,000","FRANKLIN, MA",05/05/2022,09/23/2022
HANU SOFTWARE SOLUTIONS INC,CLOUD TECHNICAL LEAD,"90,000","PRINCETON, NJ",06/15/2022,10/01/2022
HANU SOFTWARE SOLUTIONS INC,CLOUD TECHNICAL LEAD,"90,000","PRINCETON, NJ",06/15/2022,10/01/2022
HANU SOFTWARE SOLUTIONS INC,CLOUD TECHNICAL LEAD,"90,000","PRINCETON, NJ",06/15/2022,10/01/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,000","AUSTIN, TX",03/09/2022,08/24/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,000","AUSTIN, TX",03/16/2022,08/20/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,500","AUSTIN, TX",03/11/2022,08/24/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,500","ATLANTA, GA",03/21/2022,09/03/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,500","AUSTIN, TX",03/24/2022,08/27/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,500","ATLANTA, GA",03/24/2022,09/18/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,500","ATLANTA, GA",02/11/2022,07/28/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,500","ATLANTA, GA",02/17/2022,08/05/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,500","AUSTIN, TX",02/21/2022,08/13/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,500","AUSTIN, TX",03/04/2022,08/08/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,520","AUSTIN, TX",03/10/2022,09/06/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,520","AUSTIN, TX",03/11/2022,08/16/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,520","ATLANTA, GA",03/11/2022,08/16/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,520","AUSTIN, TX",03/11/2022,08/17/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,520","ATLANTA, GA",03/11/2022,08/16/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,520","AUSTIN, TX",02/15/2022,07/29/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,520","ATLANTA, GA",02/16/2022,08/05/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,520","ATLANTA, GA",02/16/2022,08/09/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,520","ATLANTA, GA",02/17/2022,08/05/2022
GOOGLE LLC,CLOUD TECHNICAL RESIDENT,"78,520","ATLANTA, GA",02/23/2022,08/25/2022
VORIZO INFO TECH INC,CLOUD TEST ENGINEER,"90,750","CEDAR PARK, TX",05/23/2022,10/01/2022
AVIVE SOLUTIONS INC,CLOUD TEST ENGINEER,"145,000","BRISBANE, CA",06/22/2022,06/29/2022
ACCENTURE LLP,CLOUD TRANSFORMATION & MIGRATION MANAGE,"175,000","FLORHAM PARK, NJ",11/24/2022,11/30/2022
AVAYA INC,CLOUD VIDEO ENGINEER,"157,900","IRVING, TX",03/24/2022,03/28/2022
BENEFIT HARBOR LP,CLOUD VMWARE AUTOMATION ENGINEER,"104,500","PLANO, TX",01/12/2022,06/30/2022
SKILL VOICE INC,CLOUDERA APPLICATION DEVELOPER,"80,163","ROCHESTER HILLS, MI",03/16/2022,03/16/2022
VENTOIS INC,CLOUDERA HADOOP ADMINISTRATOR,"97,440","ALEXANDRIA, VA",12/07/2022,12/07/2022
VENTOIS INC,CLOUDERA HADOOP ADMINISTRATOR,"97,440","ALEXANDRIA, VA",04/13/2022,04/13/2022
RANDSTAD TECHNOLOGIES LLC,CLOUDERA HADOOP ADMINISTRATOR,"138,000","INDIAN LAND, SC",05/31/2022,06/07/2022
UNITED HEALTHCARE SERVICES INC,CLOUDOPS DEVOPS SRE MANAGER,"128,315","SOUTH WINDSOR, CT",04/27/2022,05/04/2022
DIGITALAI SOFTWARE INC,CLOUDOPS ENGINEER,"67,000","LAFAYETTE, IN",05/09/2022,10/01/2022
SAGE IT INC,CLOUDOPS ENGINEER,"76,856","FRISCO, TX",06/15/2022,10/01/2022
SOFTWARE AG USA INC,CLOUDOPS ENGINEER,"140,000","RESTON, VA",11/09/2022,12/05/2022
SOFTWARE AG USA INC,CLOUDOPS ENGINEER,"145,000","RESTON, VA",10/27/2022,11/28/2022
ACTIVEHOURS INC,CLOUDOPS ENGINEER,"157,477","PALO ALTO, CA",03/29/2022,09/11/2022
VOLKSWAGEN GROUP OF AMERICA INC,CLOUDOPS PROGRAM MANAGER,"165,000","REDMOND, WA",06/13/2022,06/27/2022
