EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
SUMMIT HUMAN CAPITAL,DATA ENGINEER,"84,000","SYRACUSE, NY",04/15/2022,10/01/2022
VIABOUND LLC,DATA ENGINEER,"84,000","CHANTILLY, VA",05/19/2022,10/01/2022
VIABOUND LLC,DATA ENGINEER,"84,000","VIENNA, VA",05/19/2022,10/01/2022
SUMMIT HUMAN CAPITAL,DATA ENGINEER,"84,000","BROOKLYN, NY",05/23/2022,10/01/2022
SHRIVE SOLUTIONS LLC,DATA ENGINEER,"84,120","ALPHARETTA, GA",05/24/2022,10/01/2022
SAS INFO INC,DATA ENGINEER,"84,120","ATLANTA, GA",05/28/2022,10/01/2022
SAS INFO INC,DATA ENGINEER,"84,120","ATLANTA, GA",06/21/2022,10/01/2022
CREAMOS SOLUTIONS INC,DATA ENGINEER,"84,860","SALT LAKE CITY, UT",05/17/2022,06/06/2022
CORPORATE EMPLOYMENT RESOURCES IN,DATA ENGINEER,"85,200","FARMINGTON, MI",04/11/2022,10/01/2022
EATEAM INC,DATA ENGINEER,"85,220","DURHAM, NC",04/16/2022,04/16/2022
NETEFFECTS INC,DATA ENGINEER,"86,000","CREVE COEUR, MO",04/07/2022,10/01/2022
VIABOUND LLC,DATA ENGINEER,"86,000","TAMPA, FL",06/01/2022,10/01/2022
SNOWSTACK LLC,DATA ENGINEER,"86,220","RICHMOND, VA",05/29/2022,10/01/2022
SHRIVE SOLUTIONS LLC,DATA ENGINEER,"86,220","RICHMOND, VA",05/31/2022,10/01/2022
AWOIT SYSTEMS INC,DATA ENGINEER,"86,220","RICHMOND, VA",06/08/2022,10/01/2022
AWOIT SYSTEMS INC,DATA ENGINEER,"86,220","RICHMOND, VA",06/08/2022,10/01/2022
AWOIT SYSTEMS INC,DATA ENGINEER,"86,220","RICHMOND, VA",06/08/2022,10/01/2022
BIOINFO SYSTEMS LLC,DATA ENGINEER,"86,500","SUNNYVALE, CA",05/18/2022,06/03/2022
AMP SOLUTIONS LLC,DATA ENGINEER,"86,800","DENTON, TX",05/27/2022,10/01/2022
SNOWSTACK LLC,DATA ENGINEER,"86,920","BUFFALO GROVE, IL",04/22/2022,04/28/2022
HCL GLOBAL SYSTEMS INC,DATA ENGINEER,"86,920","CHICAGO, IL",06/06/2022,10/01/2022
SAS INFO INC,DATA ENGINEER,"86,960","MANTECA, CA",06/08/2022,10/01/2022
VTECHINFO INC,DATA ENGINEER,"87,800","AUSTIN, TX",05/19/2022,10/01/2022
HARVEY NASH INC,DATA ENGINEER,"88,000","KEARNY, NJ",05/02/2022,10/01/2022
JAMES R GLIDEWELL DENTAL CERAMICS,DATA ENGINEER,"88,400","IRVINE, CA",05/23/2022,10/01/2022
SHRIVE SOLUTIONS LLC,DATA ENGINEER,"88,540","PHILADELPHIA, PA",05/15/2022,10/01/2022
VEN SOLUTIONS LLC,DATA ENGINEER,"88,740","RICHFIELD, MN",05/24/2022,10/01/2022
VTECHINFO INC,DATA ENGINEER,"89,440","BEAVERTON, OR",05/26/2022,10/01/2022
RR INFO TECH LLC,DATA ENGINEER,"90,000","AUSTIN, TX",11/23/2022,12/04/2022
CODE ACUITY INC,DATA ENGINEER,"90,000","MINNETONKA, MN",03/14/2022,03/28/2022
HS TECHNOLOGIES LLC,DATA ENGINEER,"90,000","PHILADELPHIA, PA",02/08/2022,02/08/2022
CODEWORKS LLC,DATA ENGINEER,"90,000","MILWAUKEE, WI",02/25/2022,08/27/2022
HSTECHNOLOGIES LLC,DATA ENGINEER,"90,000","RICHFIELD, MN",02/28/2022,02/28/2022
ALPHA CLINICAL SYSTEMS INC,DATA ENGINEER,"90,000","MALVERN, PA",02/28/2022,03/08/2022
AMP SOLUTIONS LLC,DATA ENGINEER,"90,000","CHARLOTTE, NC",05/11/2022,10/01/2022
AMP SOLUTIONS LLC,DATA ENGINEER,"90,000","NASHVILLE, TN",05/27/2022,10/01/2022
AMP SOLUTIONS LLC,DATA ENGINEER,"90,000","DALLAS, TX",05/27/2022,10/01/2022
AMP SOLUTIONS LLC,DATA ENGINEER,"90,000","ROUND ROCK, TX",06/07/2022,10/01/2022
VIABOUND LLC,DATA ENGINEER,"90,000","CHARLOTTE, NC",06/13/2022,10/01/2022
APPS CONSULTANTS INC,DATA ENGINEER,"90,260","DENVER, CO",04/25/2022,05/02/2022
CVTECH INNOVATIONS LLC,DATA ENGINEER,"90,400","AURORA, IL",12/15/2022,12/21/2022
TEKNXPERT LLC,DATA ENGINEER,"90,400","DENVER, CO",05/13/2022,10/01/2022
VTECHINFO INC,DATA ENGINEER,"90,400","DENVER, CO",05/26/2022,10/01/2022
INFO KEYS INC,DATA ENGINEER,"90,400","DENVER, CO",06/07/2022,10/01/2022
INFO KEYS INC,DATA ENGINEER,"90,400","DENVER, CO",06/07/2022,10/01/2022
TEK NINJAS SOLUTIONS LLC,DATA ENGINEER,"90,420","IRVING, TX",04/05/2022,10/01/2022
TEK NINJAS SOLUTIONS LLC,DATA ENGINEER,"90,420","IRVING, TX",04/07/2022,10/01/2022
MOONITSOLUTIONS INC,DATA ENGINEER,"90,420","COPPELL, TX",01/14/2022,01/20/2022
HCL GLOBAL SYSTEMS INC,DATA ENGINEER,"90,420","FRISCO, TX",01/17/2022,01/17/2022
